Blast: S212868068, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M5,STSD,AR,OXI,0.264,0.937,800,12717,29288,249,0.239,,90,0.05
B,M5,STSD,AR,OXI,1.144,2.861,841,3847,8859,326,0.841,,74,0.15
C,M8,SDST,SI1,OXI,0.213,1.237,700,4901,11664,80,0.184,,86,0.08
D,M5,STSD,AR,OXI,0.295,1.890,828,12563,28933,274,0.248,,84,0.08
E,D4,FPD,AR,OXI,0.090,0.773,798,1483,3025,9,0.046,,52,0.21
F,M8,SDST,SI1,OXI,0.776,4.366,1030,5112,12168,303,0.709,,91,0.20
G,M5,STSD,AR,OXI,0.342,2.154,817,4374,10073,111,0.280,,82,0.22

