PT,O   ESTE,NORTE
1,807814.484,9157286.821
2,807832.719,9157309.996
3,807848.27,9157329.709
4,807862.786,9157348.135
5,807868.549,9157369.61
6,807833.965,9157370.866
7,807837.38,9157345.524
8,807818.144,9157322.283
9,807820.456,9157371.357
10,807812.873,9157371.632
11,807811.085,9157361.012
12,807799.104,9157352.918
13,807794.628,9157312.622
14,807793.285,9157302.904
15,807778.161,9157325.144
16,807778.362,9157338.904
17,807759.947,9157373.555
18,807773.65,9157357.784
19,807766.904,9157337.486
20,807760.79,9157323.274
21,807734.477,9157339.816
22,807749.417,9157359.607
