,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212884191,A,,A,D4,FPD,AR,OXI,0.116,1.717,443.842,2583,5270,20,0.087,75.491,0.396
S212884191,B,,B,M8,SDST,SI1,OXI,0.417,2.144,1032.382,10725,25525,342,0.223,53.437,0.458
S212884191,C,,C,D4,FPD,SI1,OXI,0.207,2.919,801.510,2926,5969,40,0.342,165.381,1.203
S212884191,D,,D,M5,STSD,AR,OXI,0.605,5.832,449.968,16058,36981,719,0.275,45.528,1.338
S212884191,E,,E,D2,FPD,AR,OXI,0.085,1.312,-999.000,2045,4173,11,0.000,0.000,-999.000
S212884191,F,,F,M9,STSD,SI1,OXI,0.980,15.826,1143.631,14630,33693,1062,0.713,72.720,0.827
S212884191,G,,G,M5,STSD,AR,OXI,0.498,3.575,923.105,7179,16534,265,0.565,113.292,0.558
S212884191,H,,H,D4,FPD,AR,OXI,0.222,2.448,591.812,3077,6277,45,0.179,80.461,0.229
