tipo;description;crs,orezone;ley;finos;cf;destino
M1;Material económico de litología SD;SI1, SI2;OXI;Au ≥ 0.10;[ 10 - 13 ] %;GRUESO;PAD
M2;Material económico de litología SDST;SI2;OXI;Au ≥ 0.16;[ 15 - 19 ] %;GRUESO;PAD
M3;Material económico de litología STSD, ST;SI2;OXI;Au ≥ 0.16;[ 10 - 14 ] %;GRUESO;PAD
M3B;Material económico de litología  Q;SI2;OXI;Au ≥ 0.18;[ 30 - 34 ] %;GRUESO O FINO;PAD
M4;Material económico de litología SH, INT, BX;SI2;OXI;Au ≥ 0.18;[ 14 - 16 ] %;GRUESO O FINO;PAD
M5;Material económico de litología STSD;AR;OXI;Au ≥ 0.23;[ 33- 37 ] %;FINO;PAD
M6;Material económico de litología STSD, ST, SH, INT, BX y Q;AR;OXI;0.18 ≤ Au < 0.23;[ 40 - 45 ] %;FINO;STOCK PILE
M7;Material económico de litología ST, BXST, SH, INT, BX,  y Q;AR;OXI;Au ≥ 0.23;[ 50 - 55 ] %;FINO;STOCK PILE
M8;Material económico de litología SDST, BX SDST;SI1;OXI;Au ≥ 0.18;[ 22 - 26 ] %;GRUESO O FINO;PAD
M9;Material económico de litología STSD, BX STSD;SI1;OXI;Au ≥ 0.18;[ 21 - 26 ] %;GRUESO O FINO;PAD
M10;Material económico de litología  ST, SH, INT, BX;SI1;OXI;Au ≥ 0.18;[ 21 - 26 ] %;GRUESO O FINO;PAD
D1;Clasificación M1, M2, M3, M8 y M3B;;OXI;Ley de Au según material Λ [S < 0.1];;GRUESO;NAG BOT
D2;Clasificación M4, M6, M9 y M10;;OXI;Ley de Au según material Λ [S < 0.1];;FINO;NAG BOT
D3;Clasificación M1, M2, M3, M8 y M3B;;OXI;Ley de Au según material  Λ [S < 0.1];;GRUESO;PAG BOT
D4;Clasificación M4, M6, M9 y M10;;OXI;Ley de Au según material Λ [S > 0.1];;FINO;PAG BOT
D5;Todas las litologías;SI1, SI2, AR;MIX, SULF;Au > 0.00;;GRUESO O FINO;PAG BOT

































