1,808152.449,9157475.434,2812
2,808154.416,9157465.858,2812
3,808192.73,9157470.625,2812
4,808201.449,9157482.985,2812
5,808183.035,9157490.754,2812
6,808202.175,9157451.018,2812
7,808216.834,9157453.768,2812
8,808201.428,9157508.174,2812
9,808185.041,9157509.19,2812
10,808185.088,9157519.032,2812
11,808135.495,9157544.277,2812
12,808139.309,9157551.791,2812
13,808180.388,9157535.963,2812
14,808180.634,9157546.177,2812
15,808142.42,9157567.927,2812
16,808144.427,9157576.506,2812
17,808176.31,9157561,2812
18,808176.102,9157571.16,2812
19,808191.956,9157568.681,2812
20,808152.444,9157601.433,2812
21,808185.568,9157608.886,2812
22,808152.896,9157612.887,2812
23,808183.039,9157622.414,2812
24,808179.721,9157640.164,2812
25,808169.099,9157640.164,2812
26,808176.863,9157655.451,2812
27,808168.865,9157656,2812
28,808166.386,9157701.189,2812
