PTO,ESTE,NORTE
1,808061.896,9157338.274
2,808048.608,9157312.92
3,808079.465,9157329.286
4,808078.673,9157308.43
5,808071.394,9157304.998
6,808098.236,9157319.64
7,808104.263,9157304.128
8,808104.689,9157297.914
9,808093.313,9157291.904
10,808068.593,9157281.068
11,808090.888,9157281.525
12,808105.512,9157277.348
13,808105.832,9157273.338
14,808081.26,9157261.471
15,808067.711,9157264.891
16,808069.635,9157228.425
17,808080.878,9157226.768
18,808089.932,9157231.621
19,808070.43,9157220.026
20,808087.583,9157215.433
21,808108.49,9157213.689
22,808106.744,9157199.463
23,808088.996,9157202.366
24,808095.855,9157199.705
